Collar,MagCalStart,MagCalEnd,Weight,Sex ,DeploymentStart,DeploymentEnd
Collar_1,28.06.24 17:23:00,,57.67,Male,29.06.2024 12:34:00,12.07.24 12:30:00
Collar_2,28.06.24 18:10:00,,63.83,Male,29.06.2024 13:33:00,12.07.24 13:00:00
Collar_3,28.06.24 18:04:00,12.07.24 1630-1635,,female,01.07.2024 11:39:00,12.07.24 13:30:00
Collar_4,,,58.9,male,01.07.2024 10:20:00,12.07.24 14:00:00
Collar_5,28.06.24 18:16:00,12.07.24 1630-1635,58.6,male,01.07.2024 11:17:00,12.07.24 12:00:00
Collar_6,27.06.24 22:29:00,,64.27,Male,29.06.2024 10:08:00,12.07.24 07:00:00
Collar_7,27.06.24 21:49:00,12.07.24 1630-1635,34.47,Female,29.06.2024 11:02:00,12.07.24 07:30:00
Collar_8,27.06.24 22:49:00,12.07.24 1630-1635,53.17,Male,29.06.2024 12:04:00,12.07.24 08:00:00
Collar_9,27.06.24 21:22:00,12.07.24 1630-1635,,Female,28.06.2024 11:20:00,12.07.24 08:30:00
Collar_10,27.06.24 22:03:00,,27.45,Female,28.06.2024 12:46:00,12.07.24 09:00:00
Collar_11,27.06.24 21:52:00,,60.57,Male,29.06.2024 14:57:00,12.07.24 09:30:00
Collar_12,28.06.24 16:12:00,12.07.24 1630-1635,32.87,Male,29.06.2024 15:41:00,12.07.24 10:00:00
Collar_13,28.06.24 16:28:00,12.07.24 1630-1635,,female,01.07.2024 11:58:00,12.07.24 10:30:00
Collar_14,28.06.24 16:55:00,,,female,01.07.2024 12:24:00,12.07.24 11:00:00
Collar_15,28.06.24/16:47:00,12.07.24 1630-1635,,female,01.07.2024 00:00:00,12.07.24 11:30:00
