CollarNumber,Deployment,Fieldsite,Sex,Mass_kg,MagCalStart,MagCalEnd,DeploymentStart,DeploymentEnd,Board,Acc_Conv,Mag_Conv,Axivity,Videos
Collar_1,2,Mjejane,Male,57.67,28.06.24 17:23:00,,29.06.2024 12:34:00,12.07.24 12:30:00,Y,,,Y,
Collar_2,2,Mjejane,Male,63.87,28.06.24 18:10:00,,29.06.2024 13:33:00,12.07.24 13:00:00,Limited,/2048 (then +/- 16g),/2048 then *0.15,Y,Y
Collar_3,2,Tenbosch,Female,42.07,28.06.24 18:04:00,12.07.24 16:30:00,01.07.2024 11:39:00,12.07.24 13:30:00,Y,+/- 4g,*0.15,Y,Y
Collar_4,2,Tenbosch,male,57.97,,,01.07.2024 10:20:00,12.07.24 14:00:00,N,,,,
Collar_5,2,Tenbosch,male,53.47,28.06.24 18:16:00,12.07.24 16:30:00,01.07.2024 11:17:00,12.07.24 12:00:00,Y,+/- 16g,/2048 then *0.15,Y,Y
Collar_6,2,Mjejane,Male,64.27,27.06.24 22:29:00,,29.06.2024 10:08:00,12.07.24 07:00:00,Y,+/- 16g,/2048 then *0.15,Y,Y
Collar_7,2,Mjejane,Female,34.47,27.06.24 21:49:00,12.07.24 16:30:00,29.06.2024 11:02:00,12.07.24 07:30:00,Y,+/- 16g,/2048 then *0.15,Y,Y
Collar_8,2,Mjejane,Male,53.17,27.06.24 22:49:00,12.07.24 16:30:00,29.06.2024 12:04:00,12.07.24 08:00:00,Y,+/- 4g,*0.15,Y,Y
Collar_9,2,Pullen,Female,,27.06.24 21:22:00,12.07.24 16:30:00,28.06.2024 11:20:00,12.07.24 08:30:00,N,,,Y,
Collar_10,2,Pullen,Female,27.45,27.06.24 22:03:00,,28.06.2024 12:46:00,12.07.24 09:00:00,N,,,Y,Y
Collar_11,2,Tenbosch,Male,60.57,27.06.24 21:52:00,,29.06.2024 14:57:00,12.07.24 09:30:00,N,/2048 (then +/- 16g),/2048 then *0.15,Y,
Collar_12,2,Tenbosch,Male,32.87,28.06.24 16:12:00,12.07.24 16:30:00,29.06.2024 15:41:00,12.07.24 10:00:00,Y,/2048 (then +/- 16g),/2048 then *0.15,Y,Y
Collar_13,2,Tenbosch,Female,,28.06.24 16:28:00,12.07.24 16:30:00,01.07.2024 11:58:00,12.07.24 10:30:00,Limited,,,Y,Y
Collar_14,2,Tenbosch,Female,45.47,28.06.24 16:55:00,,01.07.2024 12:24:00,12.07.24 11:00:00,Y,/2048 (then +/- 16g),/2048 then *0.15,Y,Y
Collar_15,2,Tenbosch,Female,46.87,28.06.24/16:47:00,12.07.24 16:30:00,01.07.2024 00:00:00,12.07.24 11:30:00,Y,+/- 4g,*0.15,Y,Y
