individual,filename,start_time,duration_sec,end_time
Collar_10,DJI_20240630145854_0020_D.MP4,2024-06-30T14:58:55.248767Z,184.751233,2024-06-30T15:02:00Z
Collar_10,DJI_20240630150228_0021_D.MP4,2024-06-30T15:02:28.748900Z,151.2511,2024-06-30T15:05:00Z
Collar_10,DJI_20240630150501_0022_D.MP4,2024-06-30T15:05:03.045833Z,120.954167,2024-06-30T15:07:04Z
Collar_10,DJI_20240630150702_0023_D.MP4,2024-06-30T15:07:04.568067Z,165.431933,2024-06-30T15:09:50Z
Collar_10,DJI_20240630150949_0024_D.MP4,2024-06-30T15:09:50.725533Z,141.274467,2024-06-30T15:12:12Z
Collar_10,DJI_20240630151211_0025_D.MP4,2024-06-30T15:12:11.763800Z,36.2362,2024-06-30T15:12:48Z
Collar_12,00038_collar12.mp4,2025-08-03T00:45:21.792Z,18.208,2025-08-03T00:45:40Z
Collar_12,00038_collar12.MTS,2024-07-09T06:13:41.792Z,18.208,2024-07-09T06:14:00Z
Collar_12,00039_colar12.mp4,2025-08-03T00:44:20.800Z,83.2,2025-08-03T00:45:44Z
Collar_12,00039_colar12.MTS,2024-07-09T06:16:28.800Z,83.2,2024-07-09T06:17:52Z
Collar_12,DSC_0400.MOV,2024-07-09T05:49:47.320Z,118.68,2024-07-09T05:51:46Z
Collar_12,DSC_0398.MOV,2024-07-09T05:49:42.160Z,57.84,2024-07-09T05:50:40Z
Collar_12,DSC_0401.MOV,2024-07-09T05:53:48.800Z,13.2,2024-07-09T05:54:02Z
Collar_12,DSC_0403.MOV,2024-07-09T05:53:19.520Z,72.48,2024-07-09T05:54:32Z
Collar_12,DSC_0404.MOV,2024-07-09T05:56:17.320Z,28.68,2024-07-09T05:56:46Z
Collar_12,DSC_0405.MOV,2024-07-09T05:58:03.360Z,2.64,2024-07-09T05:58:06Z
Collar_12,DSC_0407.MOV,2024-07-09T06:00:36.640Z,51.36,2024-07-09T06:01:28Z
Collar_12,DSC_0408.MOV,2024-07-09T06:01:36.560Z,145.44,2024-07-09T06:04:02Z
Collar_12,DSC_0411.MOV,2024-07-09T06:11:58.240Z,95.76,2024-07-09T06:13:34Z
