Q9_1,Q9_2,Q9_3,RawAX,RawAY,RawAZ,RawGX,RawGY,RawGZ,RawMX,RawMY,RawMZ,RawAX.sc,RawAY.sc,RawAZ.sc,RawMX.sc,RawMY.sc,RawMZ.sc,RawGX.sc,RawGY.sc,RawGZ.sc,RawAX.cl,RawAY.cl,RawAZ.cl,RawMX.cl,RawMY.cl,RawMZ.cl,RawAX.sm,RawAY.sm,RawAZ.sm,RawMX.sm,RawMY.sm,RawMZ.sm,lon,lat,utc_datetime,date,ME
-0.79493,-0.53258,0.24409,-1894,-3758,-7118,13,29,-20,-283,421,71,-0.9248046875,-1.8349609375,-3.4755859375,-0.0207275390625,0.0308349609375,0.0052001953125,0.00346210649278429,0.00772316063774957,-0.0053263176812066,-0.942882597243942,-1.82472527373266,-3.42139166606409,-0.0205693216394268,0.0306268123489075,0.00588698744680812,-0.939910125565821,-1.8339880935913,-3.42121065094071,-0.0205434531065395,0.0307354925693325,0.00589930483260641,,,2024-06-27T20:48:00Z,2024-06-27,M
-0.79483,-0.53281,0.24396,-1946,-3850,-7072,-7,8,-11,-279,419,77,-0.9501953125,-1.8798828125,-3.453125,-0.0204345703125,0.0306884765625,0.0056396484375,-0.00186421118842231,0.00213052707248264,-0.00292947472466363,-0.935469166794409,-1.8266646260052,-3.42438286442507,-0.02054179148322,0.0307142458945118,0.00588042709665321,-0.939068061802809,-1.83329511051223,-3.42138782049481,-0.0205424259847271,0.030727906971428,0.00589528766227774,,,2024-06-27T20:48:00.020Z,2024-06-27,M
-0.79474,-0.53324,0.24364,-1898,-3790,-6948,-27,21,6,-307,401,110,-0.9267578125,-1.8505859375,-3.392578125,-0.0224853515625,0.0293701171875,0.008056640625,-0.00719052886962891,0.00559263356526693,0.00159789530436198,-0.921803130723177,-1.82559508364215,-3.42823077087619,-0.0205155869219457,0.0308156029794553,0.0058776948152052,-0.938128363702681,-1.83278682462629,-3.42150268370527,-0.0205393443122753,0.030717891747088,0.00588854020150834,,,2024-06-27T20:48:00.040Z,2024-06-27,M
-0.79481,-0.53337,0.24325,-1930,-3702,-6978,-23,36,10,-272,423,81,-0.9423828125,-1.8076171875,-3.4072265625,-0.019921875,0.0309814453125,0.0059326171875,-0.00612526533338759,0.00958737182617188,0.0026631588406033,-0.902146040325082,-1.8213491730766,-3.43328706345819,-0.0204902812437296,0.0309093360183763,0.0058796200062295,-0.937145568249246,-1.83244822860963,-3.42152955556376,-0.0205340199656994,0.0307078395110445,0.00587838955811955,,,2024-06-27T20:48:00.060Z,2024-06-27,M
-0.79497,-0.53334,0.2428,-1926,-3732,-6984,-19,47,15,-284,427,80,-0.9404296875,-1.822265625,-3.41015625,-0.02080078125,0.0312744140625,0.005859375,-0.00506000179714627,0.0125168465508355,0.00399473826090495,-0.87971908011392,-1.81497534713299,-3.43913741236069,-0.0204670641336976,0.0309740287604016,0.00588617134949508,-0.936228961476009,-1.83226315184707,-3.42143816788349,-0.0205269343586364,0.0306999467387196,0.0058645782650932,,,2024-06-27T20:48:00.080Z,2024-06-27,M
-0.79511,-0.53333,0.24236,-1756,-3620,-7066,-10,45,12,-275,426,76,-0.857421875,-1.767578125,-3.4501953125,-0.0201416015625,0.031201171875,0.00556640625,-0.0026631588406033,0.0119842147827148,0.00319579060872396,-0.86037420631292,-1.80835512877865,-3.44437075309388,-0.0204485868483487,0.0309944506051827,0.00589602202848514,-0.935487319850757,-1.83221702511058,-3.42123040532222,-0.0205191854618365,0.030695852690636,0.00584738452538056,,,2024-06-27T20:48:00.100Z,2024-06-27,M
-0.79508,-0.53355,0.24195,-1686,-3692,-7094,-11,35,-11,-279,422,83,-0.8232421875,-1.802734375,-3.4638671875,-0.0204345703125,0.030908203125,0.0060791015625,-0.00292947472466363,0.00932105594211155,-0.00292947472466363,-0.850889352419827,-1.80359374550822,-3.44700076401453,-0.0204377584390904,0.0309658670341816,0.00590627809509331,-0.9349776815759,-1.83229374116584,-3.42096492402891,-0.0205122100961808,0.0306964080367146,0.00582767614480982,,,2024-06-27T20:48:00.120Z,2024-06-27,M
-0.79497,-0.53381,0.24177,-1682,-3692,-7158,-1,10,-13,-279,419,80,-0.8212890625,-1.802734375,-3.4951171875,-0.0204345703125,0.0306884765625,0.005859375,-0.00026631588406033,0.0026631588406033,-0.00346210649278429,-0.856372432571374,-1.80240530145911,-3.44538841388362,-0.020436332632553,0.0308951800652461,0.00591271268375013,-0.934674956185884,-1.83246791195089,-3.42075364984646,-0.0205073912724457,0.030701529623962,0.00580690365504438,,,2024-06-27T20:48:00.140Z,2024-06-27,M
-0.79478,-0.53411,0.2418,-1660,-3698,-7180,2,-16,-15,-279,425,85,-0.810546875,-1.8056640625,-3.505859375,-0.0204345703125,0.0311279296875,0.0062255859375,0.00053263176812066,-0.00426105414496528,-0.00399473826090495,-0.877831831025298,-1.80565625628881,-3.43917758152161,-0.0204439936712896,0.0307985242557898,0.0059106554822439,-0.934472016189133,-1.83269788039951,-3.42072805860014,-0.020505686857613,0.0307101355498941,0.00578699424520018,,,2024-06-27T20:48:00.160Z,2024-06-27,M
-0.79392,-0.53528,0.24236,-1838,-3744,-7022,8,-64,-53,-280,418,79,-0.8974609375,-1.828125,-3.4287109375,-0.0205078125,0.030615234375,0.0057861328125,0.00213052707248264,-0.0170442165798611,-0.0141147418551975,-0.911059706066878,-1.81314014276028,-3.42971438285831,-0.0204582644106977,0.0306962024151014,0.00589626016689807,-0.934210349882798,-1.83292565011576,-3.42098881827572,-0.0205073863793532,0.0307202122375196,0.00577009408287104,,,2024-06-27T20:48:00.180Z,2024-06-27,M
